cq,baseline,plateau,slope,inflection,asymmetry,drift,CurveCall
46.42486318,20.63399611,34.87117398,-0.662008893,46.13355287,2.205570256,0.045021723,0
49.81640051,17.83946843,19.41871413,-0.751158153,47.41668904,5.5,0.075424245,0
25.90937485,25.78715157,40.57591535,-0.069571838,0,5.5,-0.117900537,0
39.03364622,21.66416466,42.36729244,-0.467440642,35.17740721,5.5,0.08890851,1
23.49330861,11.3870582,22.10553516,-0.060696997,0,4.38157045,-0.086539598,0
22.79955993,15.33943565,17.07344899,-0.0790613,0,5.5,0.024652825,0
21.65436315,17.37347782,17.80630576,-0.124999878,7.23384643,5.5,0.015792608,0
47.80745481,17.13025777,36.76166232,-0.386213246,43.14018134,5.5,0.070026145,0
39.03699976,22.17070633,45.95088962,-0.396239524,34.48782502,5.5,0.040942861,1
38.4863911,19.11575779,45.13799335,-0.443559933,34.42253704,5.5,0.155945459,1
49.37422338,25.307278,26.71275118,-1.142559139,47.79656952,5.5,0.065692615,0
48.54530288,19.1979408,33.62555826,-0.50362329,44.96611408,5.5,0.103520982,0
44.50426401,13.32091829,30.83033003,-0.348247608,40.58971115,4.221676751,0.014032993,0
38.77368955,18.10425995,37.79607285,-0.424503123,34.5274008,5.5,0.087375038,1
8.588051117,14.11879641,17.21083726,-0.178259693,30.50489909,0.5,0.066030468,0
38.7919977,16.95161583,36.23969245,-0.416617933,34.46534085,5.5,0.073489957,1
38.30481381,13.3289817,30.33026493,-0.429711836,34.10999606,5.5,-0.013937508,1
37.926418,22.34801742,44.76303803,-0.451116923,33.93064053,5.5,0.024325869,1
3.128416938,22.78714343,25.77211453,-0.099375583,0,2.344902481,0.052704873,0
39.01403487,29.10897928,53.89544744,-0.469273799,35.17285976,5.5,0.004401647,1
38.8888629,17.04025597,36.40066128,-0.394937758,34.32469348,5.5,0.044629644,1
48.63526613,25.48006646,41.95142623,-0.980618409,50.06311811,1.073147122,0.02634049,0
44.83177224,13.56309999,25.89936518,-0.548527429,44.71388535,2.066051309,0.024112035,0
30.72698901,20.4982532,21.55267988,-0.158695287,19.65500265,5.349074159,0.010104238,0
47.14309048,27.11548686,50.43974448,-0.601049045,44.59170423,4.67208808,0.098127989,0
38.33620198,18.17889085,37.53460031,-0.460485973,34.42172263,5.5,0.053543471,1
38.83573625,17.98940005,42.60580893,-0.412620878,34.46716711,5.5,0.023345367,1
18.86610475,19.01566244,20.87866949,-0.172249063,8.401241801,5.5,0.035013875,0
39.79279721,19.85084862,34.26859396,-0.420726889,35.50839589,5.5,0.033255229,1
18.64283536,15.32053805,16.22570401,-0.202522959,9.742299595,5.5,0.027589303,0
47.76587707,22.74868739,36.01155401,-1.290571173,49.79266597,0.705777462,0.078780567,0
38.89581353,22.44788831,48.87020737,-0.438172327,34.78199181,5.5,0.048218737,1
38.46420038,17.15143221,36.85890311,-0.452496583,34.48060602,5.5,0.029462059,1
37.56413081,15.4203774,31.87955266,-0.457494288,33.62405355,5.5,0.006109161,1
39.54353312,14.86171127,32.61299652,-0.381368387,34.81696715,5.5,0.067699661,1
38.70231873,14.96330117,33.64477444,-0.422492617,34.43582326,5.5,0.048238229,1
46.22482227,22.66018299,41.15405659,-0.620485611,44.88997573,3.103121308,0.064332008,0
17.90975031,20.56297999,22.58932922,-0.183311099,8.076396792,5.5,0.058645108,0
40.6409295,23.11050259,44.27310205,-0.417348822,36.32184977,5.5,0.044999524,1
45.19421617,16.04792973,29.82233156,-0.668199508,45.10368288,2.061707093,0.026381369,0
45.09594033,17.19434354,28.42550615,-0.770269957,46.49825997,1.220332598,0.008274998,0
39.71099668,20.02138274,44.95257907,-0.385435468,35.03430502,5.5,0.090813476,1
48.18425395,17.86663763,38.95103423,-0.357462558,43.14159202,5.5,0.036995818,0
49.0915917,23.81128215,33.1696366,-0.66389068,46.37644161,5.5,0.060727695,0
39.13216257,11.31842893,29.65412737,-0.397011167,34.59182974,5.5,0.078703769,1
42.37247739,22.81558497,41.23059349,-0.453954302,38.40167498,5.5,0.064101933,1
